Lasso Genes 1,XGBoost Genes,Random Forest Genes,AdaBoost Genes,Intersection Lasso-XG-RF,Intersection Lasso-XG-RF-Ada,Lasso Convergence,Intersection Lasso Convergence-XG,Intersection Lasso Convergence-Ada,Intersection XG-Ada,Intersection Lasso Convergence-XG-Ada
ENSG00000126231.12,ENSG00000231794.4,ENSG00000082014.15,ENSG00000095917.12,ENSG00000163106.9,ENSG00000163106.9,ENSG00000080493.12,ENSG00000163106.9,ENSG00000163106.9,ENSG00000095917.12,ENSG00000163106.9
ENSG00000272885.1,ENSG00000167889.11,ENSG00000077097.12,ENSG00000124491.14,ENSG00000099998.16,ENSG00000099998.16,ENSG00000116176.6,ENSG00000111341.8,ENSG00000111341.8,ENSG00000124491.14,ENSG00000111341.8
ENSG00000101342.8,ENSG00000165092.11,ENSG00000100191.5,ENSG00000230453.8,ENSG00000151468.10,ENSG00000124491.14,ENSG00000124491.14,ENSG00000185345.17,ENSG00000095917.12,ENSG00000230453.8,ENSG00000095917.12
ENSG00000232216.1,ENSG00000175928.5,ENSG00000101017.12,ENSG00000273253.2,ENSG00000124491.14,ENSG00000198842.8,ENSG00000111452.11,ENSG00000095917.12,ENSG00000124491.14,ENSG00000273253.2,ENSG00000198842.8
ENSG00000227121.1,ENSG00000124491.14,ENSG00000115525.15,ENSG00000137449.14,ENSG00000198842.8,ENSG00000125430.7,ENSG00000168702.15,ENSG00000267453.5,ENSG00000198842.8,ENSG00000137449.14,ENSG00000124491.14
ENSG00000158428.3,ENSG00000004939.12,ENSG00000183828.13,ENSG00000163106.9,ENSG00000228172.4,,ENSG00000152672.6,ENSG00000124491.14,ENSG00000162078.10,ENSG00000163106.9,
ENSG00000237310.1,ENSG00000133961.18,ENSG00000205696.4,ENSG00000164070.10,ENSG00000130649.8,,ENSG00000158481.11,ENSG00000257207.5,,ENSG00000164070.10,
ENSG00000157087.15,ENSG00000232527.6,ENSG00000170577.7,ENSG00000106004.4,ENSG00000266733.4,,ENSG00000244682.6,ENSG00000198842.8,,ENSG00000116396.12,
ENSG00000272953.1,ENSG00000100867.13,ENSG00000090006.16,ENSG00000116396.12,ENSG00000159708.16,,ENSG00000261286.1,ENSG00000115112.7,,ENSG00000198842.8,
ENSG00000204219.8,ENSG00000230453.8,ENSG00000130701.3,ENSG00000198842.8,ENSG00000125430.7,,ENSG00000067798.12,ENSG00000179639.9,,ENSG00000106006.6,
ENSG00000259264.4,ENSG00000179044.14,ENSG00000165138.15,ENSG00000106006.6,ENSG00000260182.1,,ENSG00000270164.1,ENSG00000130649.8,,ENSG00000144339.10,
ENSG00000157985.16,ENSG00000157617.15,ENSG00000169432.13,ENSG00000144339.10,,,ENSG00000132975.7,ENSG00000266733.4,,ENSG00000111341.8,
ENSG00000162494.5,ENSG00000264522.4,ENSG00000104490.16,ENSG00000111341.8,,,ENSG00000167968.11,ENSG00000182700.4,,ENSG00000099998.16,
ENSG00000204583.8,ENSG00000117322.15,ENSG00000137076.17,ENSG00000099998.16,,,ENSG00000168913.6,ENSG00000260182.1,,ENSG00000100320.21,
ENSG00000132205.9,ENSG00000141448.7,ENSG00000205702.9,ENSG00000162078.10,,,ENSG00000253522.3,,,ENSG00000138028.13,
ENSG00000182359.13,ENSG00000233830.2,ENSG00000173825.6,ENSG00000100320.21,,,ENSG00000274191.1,,,ENSG00000164542.11,
ENSG00000197584.10,ENSG00000273076.1,ENSG00000172889.14,ENSG00000138028.13,,,ENSG00000246100.3,,,ENSG00000246985.6,
ENSG00000245904.3,ENSG00000117016.8,ENSG00000176273.13,ENSG00000164542.11,,,ENSG00000223751.1,,,ENSG00000253187.2,
